CRS;MUNICÍPIOS;
1ª;Alvorada;
1ª;Araricá;
1ª;Arambaré;
1ª;Arroio dos Ratos;
1ª;Barão;
1ª;Barão do Triunfo;
1ª;Barra do Ribeiro;
1ª;Brochier;
1ª;Butiá;
1ª;Cachoeirinha;
1ª;Camaquã;
1ª;Cambará do Sul;
1ª;Campo Bom;
1ª;Canoas;
1ª;Capela de Santana;
1ª;Cerro Grande do Sul;
1ª;Charqueadas;
1ª;Chuvisca;
1ª;Cristal;
1ª;Dois Irmãos;
1ª;Dom Feliciano;
1ª;Eldorado do Sul;
1ª;Estância Velha;
1ª;Esteio;
1ª;General Câmara;
1ª;Glorinha;
1ª;Gravataí;
1ª;Guaíba;
1ª;Harmonia;
1ª;Igrejinha;
1ª;Ivoti;
1ª;Lindolfo Collor;
1ª;Maratá;
1ª;Mariana Pimentel;
1ª;Minas do Leão;
1ª;Montenegro;
1ª;Morro Reuter;
1ª;Nova Hartz;
1ª;Nova Santa Rita;
1ª;Novo Hamburgo;
1ª;Pareci Novo;
1ª;Parobé;
1ª;Portão;
1ª;Porto Alegre;
1ª;Presidente Lucena;
1ª;Riozinho;
1ª;Rolante;
1ª;Salvador do Sul;
1ª;Santa Maria do Herval;
1ª;São Francisco de Paula;
1ª;São Jerônimo;
1ª;São José do Hortêncio;
1ª;São José do Sul;
1ª;São Leopoldo;
1ª;São Pedro da Serra;
1ª;São Sebastião do Caí;
1ª;Sapiranga;
1ª;Sapucaia do Sul;
1ª;Sentinela do Sul;
1ª;Sertão Santana;
1ª;Tabaí;
1ª;Tapes;
1ª;Taquara;
1ª;Três Coroas;
1ª;Triunfo;
1ª;Tupandi;
1ª;Viamão;
2ª;Alpestre;
2ª;Ametista do Sul;
2ª;Barra do Guarita;
2ª;Bom Progresso;
2ª;Caiçara;
2ª;Cristal do Sul;
2ª;Derrubadas;
2ª;Erval Seco;
2ª;Esperança do Sul;
2ª;Frederico Westphalen;
2ª;Iraí;
2ª;Liberato Salzano;
2ª;Novo Tiradentes;
2ª;Palmitinho;
2ª;Pinhal;
2ª;Pinheirinho do Vale;
2ª;Planalto;
2ª;Rodeio Bonito;
2ª;Seberi;
2ª;Taquaruçu do Sul;
2ª;Tenente Portela;
2ª;Tiradentes do Sul;
2ª;Três Passos;
2ª;Vicente Dutra;
2ª;Vista Alegre;
2ª;Vista Gaúcha;
3ª;Amaral Ferrador;
3ª;Arroio do Padre;
3ª;Arroio Grande;
3ª;Canguçu;
3ª;Capão do Leão;
3ª;Cerrito;
3ª;Chuí;
3ª;Herval;
3ª;Jaguarão;
3ª;Morro Redondo;
3ª;Pedras Altas;
3ª;Pedro Osório;
3ª;Pelotas;
3ª;Pinheiro Machado;
3ª;Piratini;
3ª;Rio Grande;
3ª;Santa Vitória do Palmar;
3ª;Santana da Boa Vista;
3ª;São José do Norte;
3ª;São Lourenço do Sul;
3ª;Turuçu;
4ª;Agudo;
4ª;Cacequi;
4ª;Capão do Cipó;
4ª;Dilermando de Aguiar;
4ª;Dona Francisca;
4ª;Faxinal do Soturno;
4ª;Formigueiro;
4ª;Itaara;
4ª;Itacurubi;
4ª;Ivorá;
4ª;Jaguari;
4ª;Jari;
4ª;Júlio de Castilhos;
4ª;Mata;
4ª;Nova Esperança do Sul;
